,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,65.404,256,67.74573049277718,311.80078399999957,10.94,54,11.385429284835947,9.944400000000003,14.84,63,15.321879780235843,14.534400000000002,3.104,12,3.2049960998416207,0.6371840000000013,30.612,136,33.33424665415434,174.07745599999976,thumb
1,92.624,376,97.46351112082921,919.9306240000002,23.152,97,24.901887478663138,84.08889600000028,48.348,191,52.57463266633444,426.5628959999999,3.528,13,3.5977770914830174,0.49721600000000105,55.044,237,57.21597678970446,243.8260639999998,index
2,72.364,323,74.05038825016382,246.91150399999995,16.516,75,17.04382586158401,17.713744000000002,29.896,131,31.897836917258196,123.70118400000007,2.876,9,3.119615360905892,1.4606239999999997,43.352,208,47.36116552619878,363.68409600000007,index
3,86.868,339,89.02774848326784,379.89057600000007,15.408,62,15.566630977832038,4.91353600000001,27.676,111,28.03790291730107,20.163024,2.792,17,2.9946619174791667,1.1727360000000036,49.924,235,54.729772519169124,502.9422240000006,index
4,128.296,531,131.20158535627533,753.9923839999999,28.508,114,29.38972609603567,51.04993599999998,60.412,213,62.407275216916815,245.05825599999991,3.68,15,3.9506961411882844,2.0656,65.784,248,67.3907412038182,213.9773440000003,index
5,108.904,437,110.41383971223897,331.134784,26.768,94,27.650533448741996,48.02617600000015,46.172,167,50.11853948390755,380.01441599999987,4.456,20,4.829906831399546,3.472064000000006,73.012,343,75.85567875907512,423.33185599999996,index
6,63.224,273,66.7797574119583,462.2618240000001,13.464,74,13.937001112147477,12.96070400000001,16.784,80,17.988885457415087,41.89734400000002,2.012,6,2.3263705637752556,1.3638559999999977,30.576,154,32.49615361854384,121.10822399999986,middle
7,51.128,213,55.40909672607919,456.09561599999984,11.016,46,11.414376899331826,8.935744000000026,17.768,78,19.17310616462549,51.90617599999999,1.84,11,1.9183326093250879,0.29439999999999916,32.44,145,35.46355876107191,205.31040000000016,middle
8,87.324,408,90.20490008863155,511.4430240000001,21.112,104,21.658993513088276,23.395455999999957,27.696,120,28.236572029904764,30.235584000000017,1.984,4,2.055237212586421,0.28774399999999967,50.056,203,51.36014018672457,132.26086400000005,middle
9,91.468,403,93.83157251160186,437.9689759999999,21.08,98,21.864491761758376,33.68960000000006,24.448,105,25.229189443975404,38.80729600000001,2.976,10,3.106122985330748,0.7914239999999965,45.036,199,47.11649392728623,191.72270400000068,middle
10,86.38,412,89.42006486242336,534.4435999999998,20.064,90,20.981134383059462,37.64390399999998,44.06,192,47.38628493562246,304.1763999999999,7.26,32,7.851878756068512,8.94439999999995,207.172,820,227.30072591173132,8745.382416,ring
11,90.568,390,96.97810062070715,1202.1893759999994,24.728,110,26.23890241606916,77.0060160000001,43.34,198,47.33831429191369,362.5603999999998,8.856,43,9.333380952259475,8.683263999999953,263.124,1036,277.783505629834,7929.436623999996,ring
12,153.984,687,166.8303089968966,4121.279744000002,37.776,171,41.466998926857485,292.485824,76.352,359,85.98674316428085,1564.0920959999996,10.884,48,11.036122507475168,3.334543999999996,301.908,1135,305.2554798852921,2032.467536000001,ring
13,102.136,407,107.26553966675412,1074.1335039999997,22.712,102,23.399145283535464,31.685055999999815,42.692,182,45.255762064073124,225.47713599999986,9.56,33,9.776707012077226,4.190399999999965,260.996,959,266.01514994450974,2645.1479839999993,ring
14,114.14,458,118.73693612351634,1070.5203999999997,32.2,131,33.11869562648867,60.00799999999997,62.204,264,63.981341030022186,224.27438400000005,10.724,44,11.421208342377788,15.43982399999995,301.272,960,306.1727747530796,2976.950015999999,ring
15,53.668,251,56.65506155675766,329.54177599999963,10.628,47,10.948789887471584,6.921615999999997,19.476,94,19.785550282971663,12.153423999999916,2.46,13,2.944146735473624,2.6164000000000063,26.84,119,30.603659911847146,216.1983999999998,pinky
16,87.604,374,95.79964509328832,1503.1111839999994,16.488,79,17.53761671379552,35.71385600000001,32.7,166,35.33683630434394,179.40199999999982,1.684,10,1.7854971296532516,0.3521440000000011,36.844,165,38.82571312931676,149.9556640000001,pinky
17,143.76,553,145.92858527375643,628.2144000000001,37.408,138,38.52178604374413,84.56953600000007,76.864,295,77.88663556734237,158.25350399999996,3.484,16,3.611647823362627,0.9057439999999984,38.892,165,39.40817174140409,40.416335999999994,pinky
18,18.74,27,18.92194493174526,6.852400000000006,5.97,4,5.974110812497538,0.04909999999999983,7.4,13,7.436396977031283,0.54,1.47,4,1.57797338380595,0.3291000000000002,3.99,2,3.9912404086950213,0.009899999999999994,baseline
19,21.71,44,21.811694111187236,4.425900000000001,6.56,9,6.592419889539804,0.42640000000000183,7.93,16,8.005623023850173,1.2051000000000018,2.52,5,2.8460498941515415,1.7496000000000023,7.17,17,7.410128204019145,3.5010999999999974,baseline
20,27.7,47,27.821574362354117,6.749999999999999,5.22,5,5.278257288158659,0.6116000000000006,7.42,15,7.44983221287567,0.44359999999999933,2.81,4,2.9171904291629644,0.6139000000000001,7.24,17,7.329392880723478,1.3024,baseline
21,24.93,47,25.21249690133843,14.16510000000001,6.84,14,6.877499545619759,0.5143999999999997,6.44,18,6.554387843269576,1.4863999999999995,2.5,6,2.9899832775452104,2.69,6.46,13,6.5314623171231725,0.9283999999999996,baseline
22,24.8,47,25.253910588263356,22.720000000000006,8.6,18,8.784076502399099,3.2000000000000024,8.6,15,8.677557259966655,1.3400000000000014,0.65,3,0.806225774829855,0.22749999999999931,5.78,14,5.801723881744114,0.2516000000000002,baseline
