,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,66.38,287,68.42926274628421,276.25959999999986,14.056,56,14.128552650572528,2.044864,22.124,94,22.731915889339376,27.268623999999942,2.4,18,2.460894146443524,0.29599999999999843,46.004,188,47.18012293328621,109.59598400000002,thumb
1,104.736,479,108.0653505986077,708.4903039999999,27.968,120,28.417740937660756,25.358975999999988,38.928,183,40.478537522988645,123.12281600000037,3.964,17,4.13327956954281,1.3707040000000064,92.288,352,94.66475584925996,444.341056,thumb
2,120.48,551,123.12608172113656,644.6016000000003,34.152,153,35.001485682753525,58.74489599999991,57.9,255,59.69499141469073,211.08200000000028,5.504,34,5.58139767441812,0.8579839999999977,92.896,406,94.70277715040885,338.94918399999966,thumb
3,186.016,759,191.06652244702627,1904.4637439999992,32.884,140,33.593034992390905,47.134544000000076,47.412,238,49.04875125831442,157.88225600000004,4.76,13,4.822447511378429,0.598399999999998,72.804,348,75.14447418140605,346.26958399999916,thumb
4,67.756,281,68.68493284556665,126.74446400000002,16.828,76,16.940956289418846,3.814416000000005,32.444,118,33.07149830291939,41.11086399999999,3.408,13,3.4675639864319736,0.4095360000000017,62.92,248,67.31371331311325,572.2096000000001,thumb
5,85.032,408,106.87929640486973,4192.742976,30.808,134,36.6850378219786,396.6591360000005,26.94,131,33.511371204413585,397.24839999999983,3.352,12,3.4525353003264136,0.6840960000000016,68.612,296,77.22504775006617,1256.1014559999999,index
6,87.696,357,90.62732479776726,522.7235840000005,28.332,135,29.645168240372662,76.13377600000004,35.044,159,36.152067714032626,78.89006400000024,3.172,10,3.2502307610383605,0.5024160000000018,86.256,297,90.43632013743151,738.630464,index
7,87.1,372,91.20822331347104,732.5299999999985,27.592,120,29.130877089438965,87.289536,30.5,139,32.927253149936455,153.954,4.832,25,4.962257550752479,1.2757759999999967,71.86,325,73.61497130339724,255.30440000000007,index
8,148.556,670,155.73933350313274,2185.8548640000004,43.244,193,46.815168482020866,321.61646400000006,45.812,216,48.87334651934528,289.8646560000001,4.528,26,4.769905659444429,2.249216000000003,102.604,551,111.39534999271739,1881.3431839999982,index
9,103.096,464,106.96145099988127,811.9667840000008,32.652,156,34.244006774908804,106.49889599999956,41.912,216,45.807422979250866,341.7042560000005,4.712,28,4.863743414284927,1.4530559999999988,102.452,436,106.3236380114977,808.3036959999998,index
10,75.364,357,78.57783402461536,494.7435039999998,32.612,155,33.982642628259505,91.27745599999993,40.412,219,44.441197103588465,341.89025599999985,4.416,19,4.514864339047188,0.8829439999999997,85.368,365,88.68442929849637,577.2325760000002,middle
11,73.264,312,74.24074353075945,144.07430399999998,22.34,104,24.316989945303675,92.24040000000004,38.544,166,47.26503993439548,748.3440639999999,3.96,20,4.1799521528362025,1.7903999999999982,60.048,292,68.26050102365203,1053.7336959999984,middle
12,92.308,435,98.01401940538915,1085.9811360000012,31.816,124,33.05220113698935,80.19014399999996,44.236,176,45.57020956721617,119.82030400000001,5.424,19,5.626366500682301,2.2362239999999973,63.164,283,65.10837119756567,249.409104,middle
13,95.244,437,101.04840424271924,1139.360464,23.932,103,24.515219762425136,28.255376,34.396,143,37.92271087356493,255.04718399999987,3.568,16,3.6144155820823927,0.3333759999999992,52.92,223,55.648539962877734,296.2335999999999,middle
14,64.144,265,66.81293287979506,349.51526399999983,19.396,88,19.8726948348733,18.719184000000006,31.444,147,32.68424697006189,79.53486399999998,3.432,16,3.5597752738059185,0.8933759999999952,61.48,266,68.95534787092296,975.0496000000013,middle
15,54.624,232,55.14192597289289,56.850623999999996,24.128,103,24.698501978865032,27.855615999999984,37.76,168,38.598445564556094,64.02240000000005,6.924,25,7.100140843673455,2.4702239999999986,140.32,561,151.84660681095247,3367.6896,ring
16,69.592,323,70.59728040087663,140.92953600000004,24.688,100,25.613902475023206,46.57465599999996,31.752,131,32.91868770166879,75.45049599999989,4.668,19,4.77283982551269,0.9897759999999978,97.948,392,101.42222636089193,692.6572959999991,ring
17,49.948,199,52.073371313945096,216.83329600000005,34.12,165,36.42230086087368,162.40959999999993,41.016,193,43.66353169408082,224.19174399999994,5.808,26,5.973943421225213,1.9551359999999949,95.464,391,101.47985021668094,1184.7847040000033,ring
18,60.652,252,61.98028718875059,162.89089600000025,31.232,132,31.814336391004606,36.714176000000066,41.416,184,43.96698761571004,217.81094399999964,6.82,24,7.089428749906441,3.747600000000003,144.508,539,151.80122529149756,2161.049936000001,ring
19,70.168,311,72.97583161567944,401.9237759999999,31.708,135,31.939505318648877,14.734735999999995,43.888,210,44.76302045215448,77.57145599999994,5.896,24,6.000666629633744,1.2451840000000018,138.556,559,143.81831594063394,1485.942863999999,ring
20,86.9,376,91.34722765360753,792.705999999999,48.544,195,49.994479695262356,142.9280639999999,48.072,225,49.682592524947815,157.44281599999965,5.964,24,6.119803918427452,1.8827040000000088,149.876,616,154.52579072763226,1415.404623999999,pinky
21,71.576,308,76.71646498633784,762.2922239999996,43.832,198,46.13571284807465,207.2597760000001,45.044,200,47.831328645564504,258.87406400000043,3.852,25,4.029392013691396,1.3980960000000038,110.24,523,116.26655581034471,1365.054400000001,pinky
22,91.288,404,103.03350911232714,2282.405056000007,40.868,184,44.320694940400024,294.1305760000001,38.296,185,42.961098682412675,379.07238400000045,4.796,19,4.903468160394232,1.0423839999999973,118.676,526,123.88092669979507,1262.4910239999983,pinky
23,52.804,224,55.07729114617021,245.24558400000063,35.184,171,36.87709316093122,122.00614400000003,35.628,183,39.04730464449499,255.33761600000008,3.52,22,3.667151483099655,1.057600000000002,102.488,414,107.54307044156774,1061.7218560000003,pinky
24,91.764,418,92.19368741947574,79.04430399999998,52.056,224,52.64537966431622,61.70886400000001,67.196,273,68.59279845581459,189.66958399999996,6.14,38,6.381535865291364,3.024399999999999,149.48,545,151.8832446321845,724.2495999999994,pinky
25,24.25,40,24.54363461266485,14.3275,7.02,12,7.0992957397195395,1.1196000000000026,7.97,16,8.01311425102625,0.6891000000000009,0.96,5,0.9797958971132712,0.038399999999999955,14.56,23,14.689451997947371,3.786400000000003,baseline
26,71.22,100,71.39215643192185,24.551599999999997,12.56,13,12.657803916951787,2.466400000000006,17.68,35,18.295354601646835,22.13759999999999,3.79,3,3.9204591567825315,1.0059000000000002,35.25,65,37.02039978174196,127.9475,baseline
27,58.95,112,59.56970706659552,73.4475,12.88,23,12.96919426949878,2.3055999999999988,22.04,41,22.095700939323017,2.4584,2.03,4,2.046948949045872,0.06909999999999991,39.77,91,41.14523058630247,111.27710000000006,baseline
28,90.78,151,91.22105020224225,80.2716,16.68,30,16.737383308032353,1.9175999999999984,31.32,41,31.445508423302684,7.877600000000005,2.69,9,2.7294688127912363,0.21389999999999987,48.0,85,48.09656952423946,9.28,baseline
29,38.01,50,38.40664005090786,30.309899999999903,6.23,14,6.274551776820397,0.5571000000000006,6.3,14,6.324555320336759,0.31000000000000044,0.27,2,0.5196152422706632,0.1971000000000005,11.7,18,11.792370414806346,2.169999999999999,baseline
30,73.87,98,76.88140217243699,453.9731,8.96,18,9.02551937563706,1.178399999999999,14.73,27,14.926151546865656,5.8171,1.35,6,1.4317821063276353,0.22750000000000006,20.31,31,20.355097641622848,1.8338999999999976,baseline
31,53.11,88,53.744115957005,67.75789999999998,9.77,20,9.802550688468793,0.6371000000000006,10.09,28,10.203430795570673,2.301900000000001,1.68,4,1.8384776310850235,0.5576000000000013,19.56,32,19.636700333813724,3.0064000000000006,baseline
32,42.03,94,43.65993586802436,139.66910000000004,8.23,16,8.309632964216892,1.3170999999999993,8.0,14,8.108020720249794,1.74,2.05,2,2.1840329667841556,0.5675000000000012,15.74,38,16.218507946170636,15.292399999999994,baseline
33,61.31,108,61.494959143006184,22.713900000000013,9.16,12,9.207605551933684,0.8743999999999998,12.6,25,12.710625476348518,2.8000000000000034,0.57,1,0.7549834435270749,0.24509999999999946,13.86,23,13.992855319769443,3.7004000000000072,baseline
34,39.0,53,39.58509820626949,45.98,10.49,19,10.602358228243375,2.3698999999999995,16.11,28,16.233607116103308,3.997899999999999,1.73,2,1.786057109949175,0.19710000000000022,17.47,34,17.646812743382302,6.209099999999981,baseline
35,64.57,135,65.3512815482604,101.50510000000004,14.84,23,14.944564229177109,3.1144000000000007,23.62,35,23.715395843207002,4.515599999999999,3.05,6,3.1064449134018135,0.34750000000000014,13.74,24,13.824615727028364,2.3323999999999994,baseline
36,40.54,83,40.836013517482336,24.088399999999982,9.18,25,9.215204826806618,0.6476000000000003,17.56,27,17.76231966833161,7.146399999999999,2.11,4,2.1840329667841556,0.31790000000000035,22.31,47,24.24396832203837,90.03390000000002,baseline
37,57.58,121,58.42174252793218,97.64359999999989,13.63,24,13.67223463812701,1.1530999999999998,19.75,35,19.935646465565142,7.3675,1.3,8,1.378404875209022,0.20999999999999988,16.12,24,16.217891354920344,3.165600000000003,baseline
38,78.57,112,78.75271423893909,28.7451,11.26,27,11.386834503056589,2.8724000000000003,20.01,39,20.30246290478079,11.789899999999998,2.59,5,2.6362852652928135,0.24189999999999967,15.78,28,16.291101865742537,16.391599999999986,baseline
39,27.34,59,27.5321630098327,10.544400000000003,10.13,17,10.15135458941318,0.4330999999999998,13.53,26,13.63048054912225,2.7291000000000047,3.01,9,3.1416556144810017,0.8099000000000021,11.96,20,12.023310692151309,1.5184000000000004,baseline
40,27.33,46,27.444307242122182,6.261099999999994,9.43,16,9.509468965194639,1.5050999999999997,13.33,23,13.67662239004938,9.3611,3.0,0,3.0,0.0,10.38,21,10.656453443805777,5.815599999999997,baseline
41,41.53,64,41.64792912018555,9.809099999999999,15.35,23,15.38603262702897,1.107500000000001,15.52,35,15.63841424185969,3.6895999999999947,3.16,2,3.181194744117373,0.13440000000000055,21.93,42,22.19436865513412,11.665099999999997,baseline
42,24.76,48,24.866443251900744,5.282399999999999,11.08,18,11.141813137905338,1.3736000000000004,20.0,30,20.34797287200865,14.04,3.58,8,3.6606010435446255,0.5836,17.81,24,17.979710787440382,6.073900000000006,baseline
43,36.67,59,37.52958832707868,63.78110000000003,18.84,23,18.962594759156776,4.6344,26.39,35,26.52790983096859,7.297900000000001,3.31,6,3.3630343441600474,0.35389999999999994,18.16,29,18.351566690612547,6.9944000000000015,baseline
